Year,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3
2014,8/30,vs.,Youngstown State,W,28,17,,,
2014,9/6,vs.,Western Kentucky,W,42,34,,,
2014,9/13,@,Washington,L,19,44,,,
2014,9/20,vs.,Texas State,W,42,35,,,
2014,9/27,@,Nebraska,L,14,45,,,
2014,10/4,vs.,Purdue,L,27,38,,,
2014,10/11,@,Wisconsin,L,28,38,,,
2014,10/25,vs.,Minnesota,W,28,24,,,
2014,11/1,@,Ohio State,L,14,55,,,
2014,11/15,vs.,Iowa,L,14,30,,,
2014,11/22,vs.,Penn State,W,16,14,,,
2014,11/29,@,Northwestern,W,47,33,,,
2014,12/26,vs.,Louisiana Tech,L,18,35,@ Dallas, TX,Heart of Dallas Bowl
2013,8/31,vs.,Southern Illinois,W,42,34,,,
2013,9/7,vs.,Cincinnati,W,45,17,,,
2013,9/14,vs.,Washington,L,24,34,@ Chicago, IL,
2013,9/28,vs.,Miami,W,50,14,,,
2013,10/5,@,Nebraska,L,19,39,,,
2013,10/19,vs.,Wisconsin,L,32,56,,,
2013,10/26,vs.,Michigan State,L,3,42,,,
2013,11/2,@,Penn State,L,17,24,,,
2013,11/9,@,Indiana,L,35,52,,,
2013,11/16,vs.,Ohio State,L,35,60,,,
2013,11/23,@,Purdue,W,20,16,,,
2013,11/30,vs.,Northwestern,L,34,37,,,
2012,9/1,vs.,Western Michigan,W,24,7,,,
2012,9/8,@,Arizona State,L,14,45,,,
2012,9/15,vs.,Charleston Southern,W,44,0,,,
2012,9/22,vs.,Louisiana Tech,L,24,52,,,
2012,9/29,vs.,Penn State,L,7,35,,,
2012,10/6,@,Wisconsin,L,14,31,,,
2012,10/13,@,Michigan,L,0,45,,,
2012,10/27,vs.,Indiana,L,17,31,,,
2012,11/3,@,Ohio State,L,22,52,,,
2012,11/10,vs.,Minnesota,L,3,17,,,
2012,11/17,vs.,Purdue,L,17,20,,,
2012,11/24,@,Northwestern,L,14,50,,,
2011,9/3,vs.,Arkansas State,W,33,15,,,
2011,9/10,vs.,South Dakota State,W,56,3,,,
2011,9/17,vs.,Arizona State,W,17,14,,,
2011,9/24,vs.,Western Michigan,W,23,20,,,
2011,10/1,vs.,Northwestern,W,38,35,,,
2011,10/8,@,Indiana,W,41,20,,,
2011,10/15,vs.,Ohio State,L,7,17,,,
2011,10/22,@,Purdue,L,14,21,,,
2011,10/29,@,Penn State,L,7,10,,,
2011,11/12,vs.,Michigan,L,14,31,,,
2011,11/19,vs.,Wisconsin,L,17,28,,,
2011,11/26,@,Minnesota,L,7,27,,,
2011,12/31,vs.,UCLA,W,20,14,@ San Francisco, CA,Fight Hunger Bowl
2010,9/4,vs.,Missouri,L,13,23,@ St. Louis, MO,
2010,9/11,vs.,Southern Illinois,W,35,3,,,
2010,9/18,vs.,Northern Illinois,W,28,22,,,
2010,10/2,vs.,Ohio State,L,13,24,,,
2010,10/9,@,Penn State,W,33,13,,,
2010,10/16,@,Michigan State,L,6,26,,,
2010,10/23,vs.,Indiana,W,43,13,,,
2010,10/30,vs.,Purdue,W,44,10,,,
2010,11/6,@,Michigan,L,65,67,,,
2010,11/13,vs.,Minnesota,L,34,38,,,
2010,11/20,vs.,Northwestern,W,48,27,@ Chicago, IL,
2010,12/3,@,Fresno State,L,23,25,,,
2010,12/29,vs.,Baylor,W,38,14,@ Houston, TX,Texas Bowl
2009,9/5,vs.,Missouri,L,9,37,@ St. Louis, MO,
2009,9/12,vs.,Illinois State,W,45,17,,,
2009,9/26,@,Ohio State,L,0,30,,,
2009,10/3,vs.,Penn State,L,17,35,,,
2009,10/10,vs.,Michigan State,L,14,24,,,
2009,10/17,@,Indiana,L,14,27,,,
2009,10/24,@,Purdue,L,14,24,,,
2009,10/31,vs.,Michigan,W,38,13,,,
2009,11/7,@,Minnesota,W,35,32,,,
2009,11/14,vs.,Northwestern,L,16,21,,,
2009,11/27,@,Cincinnati,L,36,49,,,
2009,12/5,vs.,Fresno State,L,52,53,,,
2008,8/30,vs.,Missouri,L,42,52,@ St. Louis, MO,
2008,9/6,vs.,Eastern Illinois,W,47,21,,,
2008,9/13,vs.,Louisiana-Lafayette,W,20,17,,,
2008,9/27,@,Penn State,L,24,38,,,
2008,10/4,@,Michigan,W,45,20,,,
2008,10/11,vs.,Minnesota,L,20,27,,,
2008,10/18,vs.,Indiana,W,55,13,,,
2008,10/25,@,Wisconsin,L,17,27,,,
2008,11/1,vs.,Iowa,W,27,24,,,
2008,11/8,vs.,Western Michigan,L,17,23,@ Detroit, MI,
2008,11/15,vs.,Ohio State,L,20,30,,,
2008,11/22,@,Northwestern,L,10,27,,,
2007,9/1,vs.,Missouri,L,34,40,@ St. Louis, MO,
2007,9/8,vs.,Western Illinois,W,21,0,,,
2007,9/15,@,Syracuse,W,41,20,,,
2007,9/22,@,Indiana,W,27,14,,,
2007,9/29,vs.,Penn State,W,27,20,,,
2007,10/6,vs.,Wisconsin,W,31,26,,,
2007,10/13,@,Iowa,L,6,10,,,
2007,10/20,vs.,Michigan,L,17,27,,,
2007,10/27,vs.,Ball State,W,28,17,,,
2007,11/3,@,Minnesota,W,44,17,,,
2007,11/10,@,Ohio State,W,28,21,,,
2007,11/17,vs.,Northwestern,W,41,22,,,
2007,1/1,vs.,Southern California,L,17,49,@ Pasadena, CA,Rose Bowl
